Sample ID,Taxon,Taxon (Original),Island Name,Captive,Value,Isotope
21,Chelonoidis duncanensis,Geochelone ephippium,Pinzón,Wild,-46,dD
22,Chelonoidis duncanensis,Geochelone ephippium,Pinzón,Wild,-19.1,d13Ccol
22,Chelonoidis duncanensis,Geochelone ephippium,Pinzón,Wild,11.3,d15N
22,Chelonoidis duncanensis,Geochelone ephippium,Pinzón,Wild,-37.1,dD
23,Chelonoidis duncanensis,Geochelone ephippium,Pinzón,Wild,-22,d13Ccol
23,Chelonoidis duncanensis,Geochelone ephippium,Pinzón,Wild,10.6,d15N
23,Chelonoidis duncanensis,Geochelone ephippium,Pinzón,Wild,-38.7,dD
34,Chelonoidis duncanensis,Geochelone nigra ephippium,Pinzón,Zoo,-11.8,d13Cap
34,Chelonoidis duncanensis,Geochelone nigra ephippium,Pinzón,Zoo,-5.6,d18O
34,Chelonoidis duncanensis,Geochelone nigra ephippium,Pinzón,Zoo,-22,d13Ccol
34,Chelonoidis duncanensis,Geochelone nigra ephippium,Pinzón,Zoo,11.4,d15N
34,Chelonoidis duncanensis,Geochelone nigra ephippium,Pinzón,Zoo,-62.1,dD
37,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-7.81,d13Cap
37,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-6.81,d18O
37,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-16.8,d13Ccol
37,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,10.3,d15N
37,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-49,dD
38,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-8.67,d13Cap
38,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-5.49,d18O
38,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-18.8,d13Ccol
38,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,9.6,d15N
38,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-51.4,dD
42,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-21.3,d13Ccol
42,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,13,d15N
42,Chelonoidis duncanensis,Geochelone elephantopus ephippium,Pinzón,Wild,-73.3,dD
47,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-16.1,d13Ccol
47,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,13.5,d15N
47,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-52.9,dD
48,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-18.9,d13Ccol
48,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,15.8,d15N
48,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-44.2,dD
49,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-19.9,d13Ccol
49,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,15.7,d15N
49,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-52.8,dD
50,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-18.6,d13Ccol
50,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,10.9,d15N
50,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-47.1,dD
51,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-17.5,d13Ccol
51,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,13.6,d15N
51,Chelonoidis duncanensis,Chelonoidis nigra ephippium,Pinzón,Wild,-50.1,dD
9,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-17,d13Ccol
9,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,12.8,d15N
9,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-37.8,dD
10,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-17.6,d13Ccol
10,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,12.3,d15N
10,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-41.2,dD
11,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-4.6,d13Cap
11,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-2.1,d18O
11,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-14.4,d13Ccol
11,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,8.7,d15N
