ORIG_DATA_ORDER,Island,Date,Analysis,Identifier 1,Taxon,Amt%N,Amt%C,d13C,,,D13c_zscore,d15N,,,Ampl  44,Amount,Ampl  28,C_Nratio
126,Pinta,10/3/2011,24231,GAL-P-Just-2,Just,2.1907399,42.9823049,-27.047,,,#VALUE!,NA,,,NA,0.995,NA,#VALUE!
145,Pinta,10/3/2011,24254,GAL-P-Walt-3,Walt,1.4071468,46.0534931,-27.039,,,-0.664479631,10.4,,,NA,NA,NA,25.8
14,Espanola,8/27/2010,19690,Prosopis 2,Prosopis,3.1094784,49.2263647,-27.03477,,,-0.615521934,9.1,,,NA,NA,NA,28.9
15,Espanola,8/27/2010,19691,Prosopis 3,Prosopis,3.2881665,45.6325706,-26.86913,,,-0.691709704,10.8,,,NA,NA,NA,26.4
13,Espanola,8/27/2010,19689,Prosopis 1,Prosopis,3.0780754,46.9037264,-26.76611,,,1.182791614,8.2,,,NA,NA,NA,44.1
19,Espanola,8/27/2010,19699,Opuntia 1,Opuntia,NA,52.7212199,-15.95911,-13.26051619,1.229208447,1.167412971,NA,4,3.4034996,NA,NA,NA,#VALUE!
20,Espanola,8/27/2010,19700,Opuntia 2,Opuntia,NA,52.1104693,-15.44199,,,1.211291483,7.6,,,NA,NA,NA,42.2
21,Espanola,8/27/2010,19701,Opuntia 3,Opuntia,NA,50.4405454,-14.9279,,,1.678214969,1.2,,,2779,1.08,250,52
23,Espanola,8/27/2010,19687,Paspalum 2,Paspalum,NA,42.1519957,-14.65722,,,1.687027136,2.2,,,3129,1.184,265,55.4
22,Espanola,8/27/2010,19686,Paspalum 1,Paspalum,7.0827349,267.525664,-14.54713,,,1.663615707,0,,,2372,0.947,166,66.1
24,Espanola,8/27/2010,19688,Paspalum 3,Paspalum,1.1029752,39.8854031,-14.34311,,,-0.658061547,9.7,,,3678,1.411,732,23.7
233,Santa Fe,10/1/2011,24199,GAL-SF-Tric-1,Tric,0.4681967,37.2064837,-13.796,,,-0.504966582,8.3,,,3576,1.341,988,17
230,Santa Fe,10/1/2011,24196,GAL-SF-Erag-1,Erag,0.7957383,38.2216803,-13.729,,,-0.69528309,9.7,,,3570,1.413,958,17.5
231,Santa Fe,10/1/2011,24197,GAL-SF-Lept-1,Lept,0.4567937,39.3034094,-13.274,,,-0.52409661,5.6,,,NA,NA,NA,17.8
132,Pinta,10/3/2011,24237,GAL-P-Opun-2,Opuntia,0.5137235,35.0430556,-12.954,,,-0.561626141,5.6,,,NA,NA,NA,18.5
118,Pinta,10/3/2011,24221,GAL-P-Aris-1,Aris,2.1948891,39.6511379,-12.556,,,-0.538487633,5.9,,,NA,NA,NA,16.2
131,Pinta,10/3/2011,24236,GAL-P-Opun-1,Opuntia,0.384148,28.0997727,-12.497,,,-0.601637372,-1.6,,,4186,1.443,1091,18.3
119,Pinta,10/3/2011,24222,GAL-P-Aris-2,Aris,1.5837215,40.0435795,-12.453,,,-0.601505847,-0.8,,,2604,0.904,844,14.7
16,Espanola,8/27/2010,19705,Cyperus 1,Cypernus,NA,43.6531713,-12.39684,,,-0.514830949,-1.4,,,3780,1.345,923,19.6
17,Espanola,8/27/2010,19706,Cyperus 2,Cypernus,NA,41.6235057,-12.32917,,,1.043484328,2,,,2251,0.916,111,92.7
133,Pinta,10/3/2011,24240,GAL-P-Opun-3,Opuntia,0.623656,31.2101105,-12.25,,,-0.534559681,2.8,,,3287,1.126,531,29.3
18,Espanola,8/27/2010,19707,Cyperus 3,Cypernus,NA,42.7276431,-12.24837,,,-0.56415278,2.8,,,3212,1.086,554,27.5
120,Pinta,10/3/2011,24223,GAL-P-Aris-3,Aris,1.6216566,39.1918258,-12.211,,,-0.306100957,5.9,,,3876,1.328,480,38.2
136,Pinta,10/3/2011,24243,GAL-P-Pasp-3,Paspalum,0.6941678,39.320516,-12.063,,,-0.816503703,2.4,,,2681,0.924,132,92.4
134,Pinta,10/3/2011,24241,GAL-P-Pasp-1,Paspalum,0.9008516,40.1336142,-11.952,,,-0.736055804,6.1,,,3422,1.422,780,20.8
135,Pinta,10/3/2011,24242,GAL-P-Pasp-2,Paspalum,0.8651688,41.0860045,-11.885,,,-0.685024149,7,,,2614,1.069,481,25.6
232,Santa Fe,10/1/2011,24198,GAL-SF-Opun-1,Opuntia,NA,NA,NA,,,-0.715143347,3,,,2444,1.068,520,22.2
